1 0.000802388    1.33713e-018 0.000802388
2 8.23905e-005    4.44296e-014 8.23905e-005
3 2.24334e-005    2.35675e-014 2.24334e-005
4 1.64144e-007    5.27195e-016 1.64144e-007
5 3.74459e-010    3.03201e-018 3.74459e-010
6 3.73769e-011    2.39873e-019 3.73769e-011
1 0.000348668    2.11451e-018 0.000348668
2 2.56729e-005    2.6313e-014 2.56729e-005
3 1.80335e-006    6.37313e-015 1.80335e-006
4 1.4736e-009    4.17113e-017 1.4736e-009
5 1.12909e-010    7.36989e-019 1.12909e-010
6 1.11593e-011    7.14351e-020 1.11593e-011
