96935	
	(-0.002460488995,-0.003695200746)	(-0.0002668295668,-0.0004007288048)	(-0.00245400175,-0.003685458101)	(-0.0002348729841,-0.0003527359105)	(-0.002457475805,-0.00369067549)
	(-0.0001145774282,-0.0001720741686)	(-0.002469582994,-0.003708858255)	(-0.0002924091915,-0.0004391446841)	(-0.002454855391,-0.003686740112)	(-0.0003047423973,-0.0004576668849)
	(-0.002443458187,-0.003669623613)	(-0.0002445646043,-0.0003672909368)	(-0.002449889355,-0.003679282042)	(-0.0002754450852,-0.0004136677248)	(-0.0004389628017,-0.0006592411815)
	(-0.002438028322,-0.003661468957)	(-0.0002926329605,-0.0004394807439)	(-0.002430731355,-0.003650510258)	(-0.0002570590795,-0.0003860553346)	(-0.002360351,-0.003544811943)
	(2.774119113e-005,4.166215348e-005)	(-0.002375459222,-0.003567501707)	(1.155104445e-005,1.73475387e-005)	(-0.002452235891,-0.003682806106)	(-9.651927261e-005,-0.0001449541489)
	(-0.002435936996,-0.003658328171)	(-7.985474573e-005,-0.0001199271025)	(-0.002417331278,-0.003630385813)	(-6.232176223e-005,-9.359579447e-005)	(-0.002393270819,-0.003594251441)
	(-2.989015299e-005,-4.488949792e-005)	(-0.002392586661,-0.003593223961)	(-1.301611994e-005,-1.954781192e-005)	(-0.002446877843,-0.003674759305)	(-0.0001219061192,-0.0001830805111)
	(-0.0002809667625,-0.0004219602658)	(-0.00243446666,-0.003656119997)	(-0.0001363706143,-0.0002048035154)	(-0.002444415655,-0.003671061553)	(-0.0001660300836,-0.0002493465689)
	(-0.002451875117,-0.003682264289)	(-0.00020096965,-0.0003018193547)	(-0.002431430191,-0.003651559781)	(-0.0001040086266,-0.0001562017776)	(-0.002458262937,-0.003691857617)
	(-0.0001527217085,-0.0002293598437)	(-0.002424292831,-0.003640840782)	(-0.000228377095,-0.0003429802829)	(-0.002419799886,-0.003634093208)	(-0.0001192008795,-0.0001790177398)
	(-0.002430589389,-0.003650297051)	(-0.0001833884588,-0.0002754156476)	(-0.002436269144,-0.003658826996)	(-0.0002164890478,-0.0003251266283)	(-0.0003818959717,-0.0005735373262)
	(-0.002409428585,-0.003618517425)	(-0.0001941314781,-0.0002915496815)	(-0.002350094572,-0.003529408679)	(3.501763632e-005,5.259003235e-005)	(-0.002318652448,-0.003482188407)
	(5.809075967e-005,8.724160884e-005)	(-0.002249874207,-0.003378896172)	(8.22026911e-005,0.0001234532835)	(-0.002293201659,-0.003443966016)	(7.000231638e-005,0.0001051305705)
	(-0.002315433233,-0.00347735374)	(5.677962692e-005,8.527252923e-005)	(-0.002304390808,-0.003460770054)	(6.346941495e-005,9.531935723e-005)	(-0.0001439679762,-0.0002162133519)
	(-0.002269434931,-0.003408272772)	(6.913947503e-005,0.0001038347419)	(-0.002259474746,-0.003393314412)	(7.578904265e-005,0.0001138211662)	(-0.002474360648,-0.003716033411)
	(-0.0003242985879,-0.000487036677)	(-0.00247021751,-0.003709811181)	(-0.0002209339208,-0.0003318020078)	(-0.002495412043,-0.003747648723)	(-0.0002706512667,-0.0004064682933)
	(-0.002510488919,-0.003770291411)	(-0.0002583464598,-0.0003879887424)	(-0.00247165216,-0.003711965761)	(-0.0002566861042,-0.0003854951945)	(-0.0004058013302,-0.0006094387665)
	(-0.002481820607,-0.003727236893)	(-0.0002830281705,-0.0004250561205)	(-0.002485344315,-0.003732528854)	(-0.000244494709,-0.000367185967)	(-0.002503424255,-0.003759681589)
	(-0.0003384031071,-0.0005082190638)	(-0.002490638276,-0.003740479407)	(-0.0003113662405,-0.0004676146759)	(-0.0004493818717,-0.0006748887034)	(-0.002504856868,-0.00376183311)
	(-0.0002991606986,-0.0004492842028)	(-0.002518299883,-0.003782022039)	(-0.0003235060234,-0.0004858463913)	(-0.002403515015,-0.003609636334)	(-1.119586808e-005,-1.681412929e-005)
	(-0.00243117426,-0.003651175419)	(-3.517265453e-005,-5.282284111e-005)	(-0.002436385866,-0.003659002291)	(-5.24524458e-005,-7.877390114e-005)	(-0.002416060265,-0.003628476986)
	(-3.551740063e-005,-5.334058619e-005)	(-0.0002117492682,-0.0003180083533)	(-0.00241590504,-0.003628243866)	(-2.361917794e-005,-3.547164979e-005)	(-0.002397862896,-0.003601147893)
	(1.274494826e-006,1.914056207e-006)	(-0.002343324696,-0.003519241574)	(3.502455827e-005,5.260042784e-005)	(-0.002379241788,-0.003573182423)	(1.492866956e-005,2.242010876e-005)
	(-0.002326090878,-0.003493359558)	(4.928358373e-005,7.401485465e-005)	(-0.0001530053705,-0.0002297858517)	(-0.002379995212,-0.003574313927)	(1.37682651e-005,2.067739525e-005)
	(-0.0001759495441,-0.0002642437694)	(-0.002286934933,-0.003434554549)	(5.427362648e-005,8.150897868e-005)	(-0.002278055308,-0.00342121899)	(6.205271712e-005,9.319173833e-005)
	(-0.002359465207,-0.003543481646)	(3.122475413e-005,4.689382273e-005)	(-0.002310033429,-0.00346924423)	(3.812138834e-005,5.725129555e-005)	(-0.002490840287,-0.003740782789)
	(-0.0001771671885,-0.0002660724467)	(-0.002466937563,-0.003704885305)	(-0.0001837940843,-0.0002760248222)	(-0.0003342686687,-0.0005020098998)	(-0.002468598594,-0.003707379869)
	(-0.0001469837301,-0.0002207424582)	(-0.002483614759,-0.003729931379)	(-0.000205916536,-0.0003092486652)	(-0.002463007697,-0.003698983371)	(-8.898096194e-005,-0.0001336329964)
	(-0.002450063465,-0.003679543522)	(-5.345825834e-005,-8.02844461e-005)	(-0.002467497306,-0.003705725936)	(-7.028425969e-005,-0.0001055539973)	(-0.002455547981,-0.003687780253)
	(-7.081841745e-005,-0.0001063562038)	(-0.0002317394877,-0.0003480299767)	(-0.002485443705,-0.003732678119)	(-0.0001090632946,-0.0001637929567)	(-0.002492056633,-0.003742609517)
	(-0.0001378106712,-0.0002069662153)	(-0.002477294966,-0.003720440215)	(-8.943779804e-005,-0.0001343190799)	(-0.002468754711,-0.003707614327)	(-0.000107552207,-0.0001615235818)
	(-0.0002605542499,-0.000391304436)	(-0.002406578276,-0.003614236787)	(-0.0002802836878,-0.0004209344136)	(-0.00241853317,-0.003632190834)	(-0.0002719396093,-0.0004084031463)
	(-0.002411807487,-0.003622090097)	(-0.0003151533882,-0.0004733022734)	(-0.002426120661,-0.003643585845)	(-0.0003076777464,-0.000462075238)	(-0.0004928013759,-0.000740096792)
	(-0.002441378024,-0.003666499592)	(-0.0003202167159,-0.000480906458)	(-0.002428642415,-0.003647373055)	(-0.0003428484371,-0.0005148951297)	(-0.002486675218,-0.003734527624)
	(-0.0003508633142,-0.0005269319972)	(-0.00244414739,-0.003670658668)	(-0.0003569394614,-0.0005360572499)	(-0.002474599008,-0.003716391384)	(-0.0003782588319,-0.000568075013)
	(-0.002458778775,-0.00369263231)	(-0.0003350425068,-0.000503172062)	(-0.0004979153878,-0.0007477770947)	(-0.002411821373,-0.003622110952)	(-0.0002390621446,-0.0003590272571)
	(-0.000422326918,-0.0006342571519)	(-0.002387653404,-0.00358581512)	(-0.0002518492963,-0.000378231201)	(-0.002399073902,-0.003602966601)	(-0.0002069459852,-0.000310794708)
	(-0.002383807344,-0.003580039047)	(-0.0002141698172,-0.0003216435715)	(-0.002346344802,-0.003523777216)	(-0.000230365013,-0.0003459657693)	(-0.002362075051,-0.003547401151)
	(-0.0002239287013,-0.000336299616)	(-0.002370396355,-0.003559898214)	(-1.010639076e-005,-1.517793526e-005)	(-0.002351518903,-0.003531547762)	(5.819769115e-006,8.740220022e-006)
	(-0.002346388522,-0.003523842875)	(3.059442015e-005,4.594717732e-005)	(-0.002365001111,-0.003551795553)	(8.124615387e-006,1.22016741e-005)	(-0.0001831747423,-0.0002750946848)
	(-0.002414438632,-0.003626041593)	(-8.739764242e-005,-0.0001312551424)	(-0.0002595646286,-0.0003898182074)	(-0.002371534456,-0.003561607432)	(-4.344469578e-005,-6.524592167e-005)
	(-0.002355334155,-0.003537277568)	(-9.89774766e-006,-1.48645918e-005)	(-0.002395099164,-0.003596997277)	(-5.631140183e-005,-8.456934148e-005)	(-0.002371566109,-0.003561654969)
	(-2.580095906e-005,-3.874828271e-005)	(-0.0002115412719,-0.0003176959813)	(-0.002392909885,-0.003593709385)	(-7.305727738e-005,-0.0001097185585)	(-0.002403807538,-0.003610075649)
	(-9.440304281e-005,-0.000141775962)	(-0.002393463871,-0.003594541369)	(-0.0001013100938,-0.0001521490789)	(-0.0002760610115,-0.0004145927324)	(-0.00242283558,-0.003638652259)
	(-0.0001511034177,-0.0002269294692)	(-0.0003194818489,-0.0004798028232)	(-0.002384993123,-0.003581819868)	(-0.0001764967135,-0.000265065517)	(-0.0003628929491,-0.0005449982906)
