96935	
	(0.003269306313,-0.002245856083)	(-0.000800087711,0.0005483490288)	(0.003225469524,-0.002215759633)	(-0.0008416397037,0.000576928538)	(0.003122082835,-0.002144900256)
	(-0.001085355142,0.0007444507479)	(0.00331370603,-0.002276351156)	(-0.0007747432006,0.0005309071072)	(0.003296937982,-0.002264784568)	(-0.0007220974202,0.0004947388505)
	(0.003213607696,-0.002207575172)	(-0.0008019603181,0.0005496685935)	(0.003257010457,-0.00223737328)	(-0.000761317661,0.0005217140026)	(0.0007600244701,-0.0005220123122)
	(0.003251038709,-0.002233222962)	(-0.0007052989207,0.0004832223198)	(0.003199819165,-0.002198057384)	(-0.0007505490673,0.0005143503061)	(0.002824718394,-0.001940671764)
	(-0.001221049248,0.0008378299061)	(0.002862064897,-0.001966319713)	(-0.00120379997,0.0008259618875)	(0.00309556529,-0.002126697561)	(-0.001111589289,0.0007624902196)
	(0.003047622461,-0.00209375401)	(-0.001111997867,0.0007627956578)	(0.002993834932,-0.002056794949)	(-0.001111652628,0.0007625851192)	(0.002920428152,-0.002006372397)
	(-0.001134029315,0.0007779975948)	(0.002904730598,-0.001995615124)	(-0.001171672668,0.0008038689883)	(0.003105724645,-0.002133631478)	(-0.001046851761,0.0007180034899)
	(0.0004964212663,-0.0003409367191)	(0.003093220571,-0.002124995268)	(-0.0009906388633,0.0006793851077)	(0.003140989483,-0.002157790833)	(-0.0009526503257,0.0006532559809)
	(0.003187788452,-0.002189911379)	(-0.0009004388747,0.0006173539971)	(0.003058064505,-0.002100883368)	(-0.001050658031,0.0007206435485)	(0.0031558717,-0.002168062071)
	(-0.001007908585,0.0006912181325)	(0.003157875455,-0.002169261545)	(-0.0007875475717,0.000539799593)	(0.003046990932,-0.002093230696)	(-0.0009942766686,0.0006819094504)
	(0.003126787515,-0.002147980188)	(-0.0008871883221,0.0006082846439)	(0.003170388072,-0.002177901948)	(-0.0008367628074,0.0005736093021)	(0.0006645208211,-0.0004564128043)
	(0.003095110961,-0.002126152451)	(-0.0008179407678,0.0005607219475)	(0.002797464923,-0.001921944416)	(-0.001216718868,0.0008348679779)	(0.002736760927,-0.00188024354)
	(-0.001231443203,0.0008450114723)	(0.002688537804,-0.001847120868)	(-0.001280501112,0.0008787259087)	(0.00271829059,-0.001867562943)	(-0.001258800194,0.0008638103897)
	(0.002773207254,-0.001905299928)	(-0.001270211785,0.0008716243651)	(0.002745966922,-0.001886581123)	(-0.001264631692,0.0008678038254)	(0.0002704517754,-0.0001857208195)
	(0.002743304024,-0.001884753574)	(-0.001293011121,0.0008872942034)	(0.002715223941,-0.001865458257)	(-0.001286511959,0.0008828426855)	(0.003354830119,-0.002304583932)
	(-0.00073124024,0.0005009873549)	(0.003244047368,-0.002228578987)	(-0.000904235405,0.0006199309148)	(0.003342849089,-0.002296453456)	(-0.0008658165068,0.0005934771189)
	(0.003359826328,-0.002308163175)	(-0.0009186169164,0.0006297530088)	(0.003282444943,-0.002254918087)	(-0.0008414850322,0.0005767889395)	(0.0007041592365,-0.0004836325166)
	(0.003328520543,-0.002286565587)	(-0.0008158323301,0.0005591354633)	(0.00329730295,-0.002265171449)	(-0.0008928965343,0.0006121104301)	(0.003426224674,-0.002353685104)
