96935	
	(-0.003655969827,-0.00267840865)	(0.0008018450257,0.0005889667996)	(-0.003609803631,-0.002644566376)	(0.0008497696358,0.0006240359484)	(-0.003507534948,-0.002569451175)
	(0.001121672113,0.0008231163866)	(-0.003703390714,-0.002713156107)	(0.0007717184043,0.0005669323776)	(-0.003682462197,-0.002697879785)	(0.0007149671205,0.0005253594741)
	(-0.003594935221,-0.002633715952)	(0.0008069450461,0.0005926646339)	(-0.003640618679,-0.002667204742)	(0.0007601121387,0.0005583950104)	(-0.0008357293176,-0.0006123716706)
	(-0.00363135603,-0.002660475246)	(0.0006991443112,0.0005137404703)	(-0.003577432412,-0.002620947126)	(0.0007514755606,0.0005520286758)	(-0.003186991036,-0.002334561126)
	(0.001283916846,0.0009417870593)	(-0.003227318855,-0.002364114501)	(0.001263506267,0.000926855821)	(-0.003479620225,-0.002548984377)	(0.001151682994,0.0008450818212)
	(-0.003427101847,-0.002510519524)	(0.00115449993,0.0008471166066)	(-0.003368139757,-0.002467334489)	(0.001156662911,0.0008486700949)	(-0.003288585819,-0.002409047089)
	(0.001184650983,0.0008691268183)	(-0.003273031255,-0.002397620507)	(0.001226484963,0.0008997605735)	(-0.003487983182,-0.00255516453)	(0.001080405953,0.0007928811261)
	(-0.0005445245226,-0.0003990226043)	(-0.003471743934,-0.002543322518)	(0.001019546123,0.0007482978827)	(-0.003522313495,-0.002580393344)	(0.0009755895148,0.0007161331054)
	(-0.003571314076,-0.002616324922)	(0.0009160707862,0.0006725700215)	(-0.003435869837,-0.002516994976)	(0.001086925079,0.0007976275728)	(-0.003541204145,-0.002594176245)
	(0.001035296446,0.0007598722583)	(-0.003533272017,-0.00258857416)	(0.0007942110564,0.0005832984741)	(-0.003421251528,-0.002506339482)	(0.001025807033,0.0007528551143)
	(-0.003503889079,-0.002566959954)	(0.0009047468708,0.0006642356014)	(-0.003549342076,-0.002600294331)	(0.0008473371651,0.0006222176958)	(-0.0007302870796,-0.0005351151967)
	(-0.003465883662,-0.002539196413)	(0.0008307988733,0.0006100522431)	(-0.00315696572,-0.002312570719)	(0.001280439118,0.0009392241584)	(-0.003090578279,-0.002263934586)
	(0.001299094497,0.0009528577597)	(-0.003037329977,-0.002224919251)	(0.001353651761,0.0009928105602)	(-0.003070537343,-0.002249243313)	(0.001329333117,0.0009750038922)
	(-0.003131167876,-0.002293647969)	(0.00133933082,0.0009823579535)	(-0.003101094574,-0.002271622992)	(0.001334475986,0.0009787863275)	(-0.0002951061642,-0.0002162784078)
	(-0.003097720256,-0.002269149017)	(0.001364803785,0.001001010584)	(-0.003066761372,-0.00224647481)	(0.001358996897,0.0009967410149)	(-0.003746459649,-0.002744729451)
	(0.0007217532264,0.0005303682656)	(-0.003633140245,-0.002661595425)	(0.0009172073646,0.000673439)	(-0.003739721495,-0.002739675319)	(0.0008699648044,0.0006389005413)
	(-0.003760909109,-0.002755141955)	(0.0009269419282,0.0006806372996)	(-0.003672285591,-0.002690318803)	(0.0008465098922,0.0006216864449)	(-0.0007739805291,-0.000567137156)
	(-0.003721595532,-0.00272644889)	(0.0008159644295,0.0005993450371)	(-0.00369104276,-0.002704005579)	(0.0009019951558,0.0006623306902)	(-0.003826538466,-0.002803329632)
	(0.0007573248212,0.0005564625406)	(-0.003770026778,-0.00276193619)	(0.0007809594847,0.0005737384486)	(-0.0008539320665,-0.0006257193759)	(-0.003789472191,-0.002776128048)
	(0.0008356650771,0.0006138104264)	(-0.003844399045,-0.002816360045)	(0.0008156125071,0.0005991549567)	(-0.003304923663,-0.002420954726)	(0.00126273069,0.0009263283407)
	(-0.003388769599,-0.002482365794)	(0.001261424784,0.0009254141704)	(-0.00340845418,-0.002496808333)	(0.001224708429,0.0008985306596)	(-0.003349362493,-0.002453530797)
	(0.00122419874,0.0008981272928)	(-0.0004183998802,-0.0003066158563)	(-0.003345718665,-0.002450835508)	(0.001260074656,0.0009244036535)	(-0.003298499833,-0.002416226378)
	(0.001298694782,0.0009526690429)	(-0.003220201576,-0.002358855426)	(0.001351227995,0.0009911184975)	(-0.003277262018,-0.002400656357)	(0.001328636352,0.0009745935725)
	(-0.00316149825,-0.002315861364)	(0.001342968566,0.0009850381936)	(-0.0003117686634,-0.0002284896833)	(-0.003254677985,-0.002384130464)	(0.001299936535,0.000953557326)
	(-0.0003535966331,-0.000259136752)	(-0.00315779839,-0.002313150511)	(0.001373784126,0.001007620345)	(-0.003126819158,-0.002290461112)	(0.001369379512,0.001004377705)
	(-0.003211198172,-0.002352271063)	(0.001321620791,0.0009694210786)	(-0.003224785667,-0.002362210261)	(0.001382201658,0.001013819662)	(-0.00364028216,-0.002666716188)
	(0.001053664749,0.0007733784726)	(-0.003591936006,-0.00263136635)	(0.0009880256411,0.0007252807294)	(-0.0006421727744,-0.0004705675788)	(-0.003561327146,-0.002608880813)
	(0.001074120604,0.0007883190859)	(-0.003650928968,-0.002674574258)	(0.0009769362686,0.0007171919663)	(-0.003499260084,-0.002563335946)	(0.001193350758,0.0008756105211)
	(-0.003448901509,-0.002526406326)	(0.001260294231,0.0009246172415)	(-0.003503169977,-0.002566151648)	(0.001258274759,0.0009231651528)	(-0.003468938492,-0.002541107404)
	(0.00122293219,0.0008972614459)	(-0.0004548687048,-0.0003333415588)	(-0.003571032198,-0.002615895524)	(0.001196800286,0.0008781736695)	(-0.003607467293,-0.002642615446)
	(0.001144217115,0.000839680365)	(-0.003536029662,-0.002590238753)	(0.001227062492,0.0009003206035)	(-0.003528637795,-0.002584874415)	(0.001162515893,0.0008530418308)
	(-0.0005073087527,-0.0003717625798)	(-0.003547976431,-0.002599465322)	(0.000650840413,0.0004783132258)	(-0.003567385617,-0.002613639793)	(0.0006961766852,0.0005115277225)
	(-0.003597458937,-0.002635740825)	(0.0005972720025,0.0004391168782)	(-0.003621496521,-0.002653305807)	(0.0006419613056,0.0004718578628)	(-0.0009362251927,-0.0006859936023)
	(-0.003670161505,-0.002688924663)	(0.0006561270656,0.0004822646259)	(-0.003665259985,-0.002685389338)	(0.0005873263412,0.0004318787036)	(-0.003802048892,-0.002785448457)
	(0.0006976733486,0.0005127662555)	(-0.003715530538,-0.002722185068)	(0.0005986766553,0.0004402244286)	(-0.003803694382,-0.002786708787)	(0.0006245212964,0.0004592006974)
	(-0.003723475525,-0.002727948127)	(0.0006668829505,0.0004901734736)	(-0.0009448613411,-0.0006923316487)	(-0.003516462689,-0.002576312685)	(0.000743408206,0.0005460839151)
	(-0.0008053115737,-0.0005900734863)	(-0.003471934988,-0.002543780541)	(0.000656513081,0.0004824109603)	(-0.00345286309,-0.002529708259)	(0.0007777087984,0.0005711601212)
	(-0.003423689533,-0.002508391319)	(0.0007239660322,0.0005317783849)	(-0.003352373511,-0.002456283674)	(0.0005924237999,0.000435376867)	(-0.003383869274,-0.002479304451)
	(0.0006464411298,0.0004749670975)	(-0.003215761157,-0.002355706114)	(0.001184100304,0.000868684772)	(-0.003161475137,-0.002315942374)	(0.001184957848,0.0008692822402)
	(-0.00313727812,-0.002298172758)	(0.001245825578,0.000913857212)	(-0.003197315887,-0.002342164536)	(0.001226318676,0.000899600372)	(-0.0003655857147,-0.0002679130949)
	(-0.00338394315,-0.00247896306)	(0.001090428844,0.0008001656635)	(-0.0005051895803,-0.0003701976364)	(-0.003243066861,-0.002375773262)	(0.001100088294,0.0008071606659)
	(-0.003179066931,-0.002328859613)	(0.001147300286,0.0008417074029)	(-0.003308695707,-0.002423827639)	(0.001118977143,0.0008210333347)	(-0.00323173828,-0.002367441988)
	(0.001144671244,0.0008398115267)	(-0.0004168014288,-0.0003054335376)	(-0.003318143475,-0.002430782958)	(0.001074572032,0.0007885129977)	(-0.003361518293,-0.002462574528)
	(0.001046437906,0.0007679303276)	(-0.003340410586,-0.002447151763)	(0.001002961047,0.0007360713633)	(-0.0005348894576,-0.000391949607)	(-0.003456764646,-0.002532404327)
	(0.0009588357059,0.000703823261)	(-0.0006151156323,-0.0004507332258)	(-0.003389101227,-0.002482986686)	(0.00080796429,0.0005932757388)	(-0.0006950958069,-0.0005093183471)
	(-0.003305283363,-0.002421463412)	(0.0009589387432,0.0007038058836)	(-0.003361710464,-0.00246280793)	(0.0009394544391,0.0006895695113)	(-0.003398408631,-0.002489646709)
	(0.0009838328329,0.0007220965845)	(-0.003360540687,-0.002462118363)	(0.0007496074836,0.0005505157185)	(-0.00329769928,-0.002415845846)	(0.001032854249,0.0007579435176)
	(-0.003422319727,-0.002507247861)	(0.0008791571499,0.0006454440441)	(-0.003331136339,-0.002440484713)	(0.0008682930069,0.0006374280578)	(-0.003265442481,-0.00239275824)
	(0.0004584586791,0.0003371827017)	(-0.003326940566,-0.002437706549)	(0.0005435532903,0.0003995628163)	(-0.003298427695,-0.002416868076)	(0.0005037229954,0.0003703612594)
