96935	
	(0.001552933324,-0.001866784632)	(-0.001939087409,-0.00152185987)	(0.001146608514,-0.00248898204)	(-0.002579639958,-0.001088203785)	(-0.001232707651,-0.007865395103)
	(-0.007951690702,0.001291485314)	(0.00179932675,-0.001397713591)	(-0.001435078588,-0.001765448813)	(0.001382850547,-0.001084668295)	(-0.001134342389,-0.001362956963)
	(0.0008923933269,-0.002045610473)	(-0.002085917427,-0.00086538828)	(0.00121548459,-0.001546501728)	(-0.00161920243,-0.001189132687)	(-0.0001420553155,-0.0001167874589)
	(0.000989951803,-0.001120891008)	(-0.001179950323,-0.000955620991)	(0.0006664231333,-0.001573522286)	(-0.001639558194,-0.0006331569884)	(-0.01554434231,-0.00184303056)
	(-0.001951234519,0.01554907182)	(-0.01354887681,-0.003716183981)	(-0.003756354873,0.01376772156)	(-0.00242838136,-0.00860432103)	(-0.00870628141,0.002524927544)
	(-0.004245020747,-0.007794032373)	(-0.007814107398,0.004349800284)	(-0.006057282056,-0.006523838837)	(-0.00660222571,0.006062458411)	(-0.008701350217,-0.004522433731)
	(-0.004721614945,0.008842116593)	(-0.01084618863,-0.004974503051)	(-0.005073437554,0.01092394573)	(-0.001558663751,-0.006423582951)	(-0.006486334257,0.001650580779)
	(-0.0001275894131,0.0007889193706)	(-0.001356460833,-0.004848434385)	(-0.004915231778,0.001439410717)	(-0.0001781529891,-0.004272150558)	(-0.004394460048,0.0002180363146)
	(0.0007627945605,-0.003434305793)	(-0.003498182999,-0.0007311226714)	(-0.002946737585,-0.005939103536)	(-0.0060511422,0.003047680772)	(4.444773171e-005,-0.005671782902)
	(-0.005779314254,0.0001057887641)	(0.0003090404107,-0.001935927742)	(-0.001990866624,-0.0002722097992)	(-0.002477552221,-0.004421699054)	(-0.00448733664,0.002478103512)
	(-0.0002787049801,-0.003114248044)	(-0.003141376882,0.0002878959251)	(0.0004184081178,-0.00252200608)	(-0.002615987993,-0.0003687837602)	(-8.482986701e-005,9.026566937e-005)
	(-0.0004293101369,-0.002034847981)	(-0.002119701431,0.0004912551161)	(-0.01558534043,0.0002154951884)	(2.713526485e-005,0.01569853146)	(-0.01668172046,0.004450134605)
	(0.004314478647,0.01696126914)	(-0.02102647348,0.006322405556)	(0.006299943595,0.02132564572)	(-0.01910561383,0.005100496228)	(0.004995791513,0.01931618125)
	(-0.01978451757,-4.593264153e-005)	(-0.0001882057502,0.02006230482)	(-0.01956435069,0.002507280929)	(0.002348868257,0.01984757362)	(0.003443520194,0.0007527480471)
	(-0.02197192506,0.0004599714689)	(0.0004642823573,0.02238363515)	(-0.02169915118,0.003482283185)	(0.003497622724,0.02202727601)	(0.001864295826,-0.0008408164777)
	(-0.0008696324575,-0.001829293064)	(0.001711951178,-0.003396184835)	(-0.003397577604,-0.00169163341)	(0.002884763228,-0.002096267648)	(-0.00215612916,-0.002849079305)
	(0.003780369945,-0.002604398967)	(-0.002674447646,-0.003717462224)	(0.001921281126,-0.002248846643)	(-0.002367815053,-0.001912049493)	(-0.0003211090276,-5.90049472e-005)
	(0.002250788336,-0.001667119013)	(-0.001705283308,-0.00223164363)	(0.002527278114,-0.00285673058)	(-0.002867039443,-0.002470499782)	(0.002615044192,-0.000424002949)
