96935	
	(-0.002382279575,0.0004703524228)	(0.0005460651134,0.002403725656)	(-0.002459033246,0.001209497195)	(0.001316687142,0.002470833894)	(-0.004000842068,0.006883068282)
	(0.006987107096,0.004009610509)	(-0.002277888121,-4.910767782e-005)	(1.250697186e-006,0.002275132694)	(-0.001757245807,-2.961224004e-005)	(2.148801472e-005,0.00177310513)
	(-0.001982209461,0.001025539303)	(0.001073848912,0.001986648264)	(-0.001918426196,0.0004344152899)	(0.0005074611132,0.001943788357)	(3.665992166e-005,0.000180172357)
	(-0.001475063558,0.0002461660745)	(0.000313652248,0.001485632032)	(-0.001509211428,0.0008014843879)	(0.0008737153424,0.001525006637)	(0.01090558637,0.01122882347)
	(0.0113158119,-0.01084104604)	(0.008175777259,0.01142518907)	(0.01159432266,-0.008320340686)	(-0.003538383824,0.008210378692)	(0.008350385294,0.003527706645)
	(-0.00161734498,0.008726416191)	(0.008808044992,0.001548663064)	(0.0005901851391,0.008882662117)	(0.008946778734,-0.0005447872669)	(0.003904360916,0.008995568199)
	(0.009238927694,-0.003888083897)	(0.005284483459,0.01069846693)	(0.01082428754,-0.005282478757)	(-0.002838980138,0.005969221474)	(0.006075871698,0.002807181456)
	(0.0005963294383,-0.000532050829)	(-0.002003090765,0.004618950289)	(0.004723089641,0.001980803118)	(-0.002554583655,0.003428845798)	(0.003548933323,0.002600718429)
	(-0.002756939223,0.002185301811)	(0.002254850442,0.002772614973)	(-0.001456010937,0.006468055534)	(0.00661865902,0.001448273315)	(-0.003609623725,0.004375095413)
	(0.00455326821,0.003560774425)	(-0.001460205049,0.001308097777)	(0.001373960315,0.001466240627)	(-0.0008637830098,0.004994325581)	(0.005045628108,0.0009047330715)
	(-0.001746660904,0.002593325462)	(0.00262017701,0.001756627128)	(-0.001914533545,0.001694143329)	(0.001798379332,0.001935247514)	(0.0001227490629,-1.663461231e-005)
	(-0.000949363333,0.00185029886)	(0.001955216111,0.0009547606075)	(0.01223495543,0.009656600132)	(0.009874181165,-0.01220409205)	(0.01575529205,0.007060261856)
	(0.007341788682,-0.01588679624)	(0.02030832629,0.008345393302)	(0.008551416559,-0.02052641395)	(0.01804693554,0.008083215702)	(0.008297234723,-0.01814439788)
	(0.01533005791,0.01250639721)	(0.01279194983,-0.01545602232)	(0.01676849272,0.01038552137)	(0.01068703031,-0.01688850459)	(-0.002198769074,-0.002754926333)
	(0.01734706045,0.01349243178)	(0.01374860485,-0.01766938678)	(0.01904033843,0.01097422799)	(0.01116915444,-0.0193047287)	(-0.001977293174,-0.0005223912336)
	(-0.0004779597277,0.001968273713)	(-0.003469759046,0.001557423314)	(0.001571306832,0.003454861429)	(-0.003560857255,-0.0001909916622)	(-0.0001220312751,0.003570880791)
	(-0.004576427823,-0.0003610478521)	(-0.0002670194394,0.004571738309)	(-0.002909061804,0.000534773322)	(0.0006329454801,0.002976879223)	(0.0002120853827,0.0002481814781)
	(-0.002798182513,-0.0001245337906)	(-8.284200452e-005,0.002807369028)	(-0.003762678831,0.0006247067712)	(0.0006684940328,0.003725093899)	(-0.002297383496,-0.001319195433)
	(-0.001285434478,0.002285318379)	(-0.002563775266,-0.0007121388085)	(-0.0006753612368,0.00257520069)	(7.858187013e-005,0.0003783908537)	(-0.003251194397,-0.0009545011945)
	(-0.0009038643036,0.003247184345)	(-0.002928222784,-0.001633313507)	(-0.001586199086,0.002911412323)	(0.004079483608,0.01324357503)	(0.01340475317,-0.004095301602)
	(-0.0006826835336,0.01365287488)	(0.01389061605,0.0005647555355)	(-0.001333199104,0.01170812189)	(0.01183907485,0.001380039171)	(0.001505872141,0.01173561102)
	(0.01183065933,-0.001522285064)	(0.0003167165702,-0.001828044208)	(0.001749549371,0.01352898034)	(0.01362545316,-0.001695882299)	(0.004570502375,0.01530782162)
	(0.0155182612,-0.004625245098)	(0.00952729212,0.01767623062)	(0.01785513161,-0.00966111758)	(0.005755327397,0.01713909233)	(0.01733537316,-0.00594330305)
	(0.01360216185,0.01443406986)	(0.01473316764,-0.01370041638)	(-0.00144626123,-0.003119446414)	(0.007226088317,0.01449008084)	(0.01469507659,-0.007306230476)
	(-0.0003384465748,-0.0027019661)	(0.0132084049,0.01769670367)	(0.0180263796,-0.01343204089)	(0.01550093742,0.01571099485)	(0.0160155969,-0.01576069353)
	(0.01030840787,0.01470596772)	(0.01491619588,-0.01037796619)	(0.007847555617,0.02088134545)	(0.02118931067,-0.007990178187)	(-0.005854340736,0.003054527074)
	(0.00318169432,0.005799377562)	(-0.00385304663,0.002873650843)	(0.003019144235,0.003901366809)	(0.0005137901719,-2.000993556e-005)	(-0.004711267853,0.004938110374)
	(0.004910942617,0.004716779459)	(-0.00450150666,0.001829966056)	(0.001976541958,0.004577227138)	(-0.004923191842,0.009425000178)	(0.009528623602,0.004944500845)
	(-0.004013116251,0.01322125096)	(0.01333770748,0.003970430023)	(-0.006693882473,0.01203441725)	(0.01209103347,0.006732233031)	(-0.004168708732,0.01110870904)
	(0.01123349774,0.004258075753)	(0.001173389957,-0.00127374088)	(-0.007744095734,0.007960998781)	(0.008164347728,0.007685448464)	(-0.007329076431,0.005570305412)
	(0.005621798853,0.007353720445)	(-0.007325484533,0.009996281587)	(0.01012155893,0.007256286093)	(-0.005467614255,0.007823283431)	(0.007948938141,0.005458741672)
	(0.001193910448,-0.00067527042)	(-0.000926571994,0.0004778135628)	(0.000495537956,0.0009503646541)	(-0.001165402536,0.0005522848886)	(0.0006047950021,0.001213429726)
	(-0.0008632134856,0.0001244676238)	(0.000191609963,0.0008667542151)	(-0.001117060548,0.0001526242209)	(0.0002159431507,0.001127040058)	(-9.969095605e-005,0.0001520051724)
	(-0.001324565405,-8.460960831e-005)	(-2.594273923e-005,0.001349794067)	(-0.0009934387932,-0.000164381803)	(-0.0001136951085,0.001016374029)	(-0.001766060635,-0.0009903860469)
	(-0.0009321086636,0.00178782841)	(-0.001112901316,-0.0003937376196)	(-0.0003663670916,0.001092927507)	(-0.00125911325,-0.000925760428)	(-0.0008766273361,0.001271350113)
	(-0.001512719074,-0.0004015230337)	(-0.0003403684335,0.001536351139)	(-6.173670564e-005,0.0002516474155)	(-0.001053287621,0.001028402477)	(0.001100622354,0.001081428695)
	(-5.943274302e-005,9.775730466e-006)	(-0.0005888093419,0.0006719348756)	(0.0007529948111,0.0005928766899)	(-0.000700676069,0.001416304117)	(0.00146548133,0.0007527338909)
	(-0.0004213449441,0.001068089297)	(0.001121074909,0.0004653339875)	(-4.786315055e-005,0.0004914707656)	(0.0005338200244,7.91036721e-005)	(-0.0001728760924,0.0006726389248)
	(0.000722452996,0.0002205404045)	(0.006778225856,0.007531309224)	(0.007618248405,-0.006742235004)	(0.008489080097,0.005739912064)	(0.005845538929,-0.0085063942)
	(0.01164875072,0.006914240044)	(0.007092011075,-0.01166118917)	(0.008606554093,0.008694874358)	(0.008785082737,-0.008645137221)	(-0.001120275826,-0.001940988117)
	(1.521239589e-005,0.006605670377)	(0.006740383701,1.564557872e-005)	(0.0001488194683,-0.0009266792662)	(0.004120923147,0.005418242788)	(0.005522712945,-0.003995117597)
