96935	
	(0.002864130147,0.004597094972)	(-0.0002063827978,-0.000334579524)	(0.002842238609,0.004561908194)	(-0.000246147327,-0.000398333039)	(0.002815851518,0.004519112966)
	(-0.0004351225178,-0.0007014457838)	(0.00288892172,0.004636905941)	(-0.0001779402711,-0.0002889936128)	(0.002867702725,0.004602967054)	(-0.0001465823224,-0.0002386650361)
	(0.002826933553,0.004537433846)	(-0.0002222234316,-0.0003599349605)	(0.002848567116,0.004572205778)	(-0.0001835619857,-0.0002979515528)	(0.0005688627592,0.000913161635)
	(0.002833929907,0.004548831481)	(-0.0001473854011,-0.0002399025122)	(0.002808377264,0.004507765575)	(-0.0001912656429,-0.0003102463525)	(0.002631928311,0.004223745173)
	(-0.0005935275108,-0.0009553444901)	(0.002656037916,0.004262465967)	(-0.000574472966,-0.0009248007154)	(0.002802440168,0.00449754713)	(-0.0004590653475,-0.0007398381171)
	(0.002770044619,0.00444556874)	(-0.0004708360984,-0.0007586773391)	(0.00273347694,0.004386894775)	(-0.0004829214964,-0.0007780172165)	(0.002686684666,0.004311770811)
	(-0.0005151424966,-0.0008296465008)	(0.002682453126,0.004304906086)	(-0.0005435302696,-0.0008751859161)	(0.002798458972,0.004491278186)	(-0.0004133807009,-0.0006665407647)
	(0.0003657749494,0.0005872065935)	(0.002780062177,0.00446187339)	(-0.0003787551365,-0.0006109679822)	(0.002805363068,0.00450254003)	(-0.0003417074685,-0.0005515725734)
	(0.002827929473,0.00453883933)	(-0.0002950574551,-0.0004767680327)	(0.002766733862,0.004440373309)	(-0.0004273547343,-0.0006889157816)	(0.0028256218,0.004534930567)
	(-0.000375132915,-0.0006052207766)	(0.002787330057,0.004473935007)	(-0.0002269251305,-0.0003674120303)	(0.002749515569,0.004412857951)	(-0.0003921920529,-0.0006324806203)
	(0.002784715009,0.004469541913)	(-0.0003013183026,-0.000486748162)	(0.002804884866,0.004501996582)	(-0.0002566542932,-0.0004151292325)	(0.0004955925325,0.0007955551497)
	(0.002750567625,0.004414905647)	(-0.0002633971896,-0.0004258607616)	(0.002612676199,0.00419285596)	(-0.0005967962007,-0.0009605622402)	(0.002568912038,0.004122606934)
