96935	
	(-0.002294810762,-0.0005243020943)	(-0.0004521239712,0.002343625431)	(-0.00266654396,0.0001088498911)	(0.0002124159092,0.002718743478)	(-0.006441316304,0.004658084688)
	(0.004763611648,0.006485116936)	(-0.001990135804,-0.0009440092104)	(-0.0008866854851,0.002005495573)	(-0.001535268686,-0.0007147211744)	(-0.0006657397022,0.001568999368)
	(-0.002161465033,0.0001366215966)	(0.000189825672,0.002182283229)	(-0.001865438074,-0.0003664396931)	(-0.0002978363926,0.001916383014)	(-8.173663801e-005,0.0001894338037)
	(-0.001393911784,-0.0003567448612)	(-0.0002891275861,0.00142946198)	(-0.00164708147,0.0001254813336)	(0.000195356734,0.001690443188)	(0.005792394234,0.01501907398)
	(0.01508615957,-0.005707084892)	(0.003097352601,0.01404880554)	(0.01428933811,-0.003178647421)	(-0.006577836367,0.006082026985)	(0.006231299852,0.006619235867)
	(-0.005008555815,0.00737621323)	(0.007495678267,0.004967041991)	(-0.003012902108,0.008451386688)	(0.008505943831,0.003073288564)	(6.544087464e-005,0.009939005448)
	(0.01018127147,4.595008314e-005)	(0.0006563617397,0.01213386263)	(0.01226771086,-0.0006109779644)	(-0.004979767161,0.00430425834)	(0.00442977337,0.004986088875)
	(0.0007122174808,-0.0002318243795)	(-0.003647641102,0.003402100299)	(0.003523136191,0.003665245291)	(-0.003662623724,0.002085502546)	(0.002190114453,0.003751586506)
	(-0.003335716129,0.0008666910382)	(0.0009373331418,0.003374112452)	(-0.003909922303,0.005342348923)	(0.005501754914,0.003958291893)	(-0.005023910845,0.002513102764)
	(0.002714571385,0.005047605486)	(-0.001805595475,0.0005994981318)	(0.0006705812373,0.001835683278)	(-0.002750424758,0.004221552114)	(0.004264973078,0.002803746949)
	(-0.002583678672,0.001652171398)	(0.001683295453,0.002600160671)	(-0.002371805466,0.0007675129138)	(0.000868670748,0.002432122984)	(7.032515631e-005,4.835658649e-005)
	(-0.001556112901,0.001294722697)	(0.001402652758,0.001601996806)	(0.007732958829,0.01407050171)	(0.01428367455,-0.007622298262)	(0.01222472936,0.01304975545)
	(0.01339767118,-0.01224558891)	(0.01610004604,0.01623499307)	(0.01653973659,-0.01623240272)	(0.01401295345,0.0150152822)	(0.01527913522,-0.01402788591)
	(0.009502113753,0.01813129191)	(0.01847463168,-0.009513383183)	(0.01179449174,0.01669752186)	(0.01705620335,-0.0117924173)	(-0.001069941898,-0.003513873189)
	(0.01102815273,0.01995215344)	(0.0203461908,-0.01124061629)	(0.0137459896,0.01824471132)	(0.018555426,-0.0139283294)	(-0.001530167364,-0.001241360951)
