96935	
	(0.001182246768,0.0007383913407)	(0.0006715481332,-0.001154760182)	(0.001569353322,0.0004103057876)	(0.0003303212797,-0.001554532501)	(0.005295030781,-0.002262834482)
	(-0.002333127405,-0.005229401518)	(0.0008958151208,0.0009125699869)	(0.0008578464372,-0.0008536053422)	(0.0006833777345,0.0006628896244)	(0.0006169535935,-0.000660223423)
	(0.001249063954,0.0002971226626)	(0.0002438556191,-0.001198489639)	(0.0009518937929,0.0005368426276)	(0.0004718623092,-0.0009215486554)	(0.0001454711906,-0.0004411552843)
	(0.0006756097589,0.0004321274067)	(0.0003708897622,-0.0006446705887)	(0.0009316451508,0.0001990122183)	(0.000126564111,-0.0009161037734)	(-0.004980164714,-0.0123019373)
	(-0.01228709032,0.005048064082)	(-0.00233547439,-0.01135975757)	(-0.01155285214,0.002609732628)	(0.005687450865,-0.003424862769)	(-0.003547929576,-0.005624108854)
	(0.004538497904,-0.004779246901)	(-0.004864551126,-0.004366614291)	(0.002968144262,-0.00595314443)	(-0.005973013204,-0.002889634412)	(0.0003714192257,-0.007407592424)
	(-0.007650435996,-0.0003349538467)	(-8.138886492e-005,-0.009451698261)	(-0.00956364526,0.0001801576553)	(0.004019766869,-0.002231537092)	(-0.002320968949,-0.003915342687)
	(-0.0004881872021,-0.0003406180067)	(0.00286351542,-0.001713420794)	(-0.001834425483,-0.002781776176)	(0.002640793803,-0.0007553650388)	(-0.0008413883661,-0.002636575818)
	(0.002183644777,6.316114685e-005)	(-2.465272504e-006,-0.002123472728)	(0.003346109435,-0.003224978023)	(-0.003364212787,-0.003271057121)	(0.003748193134,-0.0008188667602)
	(-0.00100398363,-0.003685453276)	(0.001120036151,-5.502131738e-005)	(-0.0001362802542,-0.001064707649)	(0.002282242263,-0.002486270831)	(-0.002517812422,-0.00221666973)
	(0.001811017733,-0.0006319092579)	(-0.0006658603021,-0.001743972851)	(0.001508168767,-7.218909692e-005)	(-0.000175227351,-0.001481229352)	(2.115502561e-005,-0.0004225179234)
	(0.001062712373,-0.0005287441335)	(-0.0006390518132,-0.001023682956)	(-0.006846180294,-0.01130379101)	(-0.01148833429,0.006920289983)	(-0.01124092905,-0.009972002033)
	(-0.01028661926,0.0115000422)	(-0.01562168722,-0.0129183556)	(-0.01314566157,0.01593087525)	(-0.01328714895,-0.01184306699)	(-0.0120494016,0.0134967586)
	(-0.008814871516,-0.01534745136)	(-0.01563895025,0.009007123455)	(-0.01109609735,-0.01374984558)	(-0.01407758619,0.01128747405)	(0.001365595759,0.002367994711)
	(-0.01051875105,-0.0172113143)	(-0.01750830403,0.01089888917)	(-0.0133097135,-0.01526311648)	(-0.01547565898,0.0136547837)	(0.0005452278538,0.000970280262)
	(0.0009126142431,-0.0004844051963)	(0.002256830153,0.0007129874927)	(0.0006797163173,-0.002161615402)	(0.00140015479,0.001616828724)	(0.001572993687,-0.001361020154)
	(0.001786585259,0.002257057336)	(0.002192700808,-0.001754382744)	(0.001460135463,0.0009605774107)	(0.0009116381591,-0.001468037963)	(8.557418545e-005,-0.0005539829413)
	(0.001085292591,0.001195950806)	(0.00116733557,-0.001038137318)	(0.001917397471,0.001337656418)	(0.001272014841,-0.00182868222)	(0.0002665053043,0.001430762759)
	(0.001394419133,-0.0002165446025)	(0.0006926056422,0.00133400551)	(0.001292740736,-0.0006399851527)	(0.0001970843306,-0.0005204926684)	(0.0008533093277,0.001801471057)
	(0.001746906635,-0.0007949869115)	(0.0003443199972,0.001888475133)	(0.001844815261,-0.0002915639775)	(0.002117567074,-0.01117861126)	(-0.01129685511,-0.001986541004)
	(0.006344920676,-0.009115442318)	(-0.009374813223,-0.006189843909)	(0.005820763964,-0.007187278667)	(-0.007266246694,-0.005796827324)	(0.003570229829,-0.008680782981)
	(-0.008733957101,-0.003439344031)	(-0.0008178339686,0.0007744108631)	(0.004228618858,-0.0102641974)	(-0.01027510395,-0.004170926859)	(0.00267634627,-0.01321368689)
	(-0.01340459142,-0.002547841797)	(-0.0007900144912,-0.01791358613)	(-0.0180392436,0.001006555049)	(0.002505861743,-0.01549783492)	(-0.01570082193,-0.002232985795)
	(-0.006270198327,-0.0165722377)	(-0.01686021359,0.006423193523)	(0.0004582283648,0.002609935532)	(-0.0001178387136,-0.01374438836)	(-0.01393885009,0.0002893919203)
	(-0.0005497796547,0.001812284235)	(-0.004448803024,-0.01969155719)	(-0.02000580041,0.004650419205)	(-0.007686829375,-0.01873958194)	(-0.01905565929,0.007950872119)
	(-0.002928036037,-0.01537560623)	(-0.01555510985,0.003099088782)	(0.002402512765,-0.02019407787)	(-0.02041223574,-0.002301065271)	(0.004385475391,0.001150624281)
	(0.001025716794,-0.004301860304)	(0.003119487003,0.0001930523687)	(9.306087049e-005,-0.003148937158)	(-0.0002092178966,-0.000583953444)	(0.004733391489,-0.0006195982259)
	(-0.000578366132,-0.004593626642)	(0.002945173904,0.001119595857)	(0.001053031012,-0.002990413299)	(0.007311149935,-0.003565010429)	(-0.003610519441,-0.007261212503)
	(0.008794160498,-0.006976584888)	(-0.007055111927,-0.008655507202)	(0.01013730176,-0.004466865747)	(-0.004443044304,-0.01005537055)	(0.007696964547,-0.005239237779)
	(-0.005265254462,-0.007709852989)	(-0.001297261114,-6.770136227e-006)	(0.008469222566,-0.0008955180456)	(-0.001069270111,-0.008417157462)	(0.006742284215,0.0004547105142)
	(0.0004460194675,-0.006679961771)	(0.009413489183,-0.002591709354)	(-0.002712835537,-0.009277604774)	(0.006825047212,-0.002113896167)	(-0.002208113194,-0.006777611094)
	(-0.001020482567,-0.0004797375809)	(0.0005513332035,0.0001044301258)	(6.543393239e-005,-0.000539183256)	(0.0006697137286,0.0001846589977)	(0.0001381980776,-0.0006554759149)
	(0.0003703703573,0.0002406585724)	(0.0001742772695,-0.0003314793622)	(0.0004939561045,0.0003114836987)	(0.0002442987487,-0.0004732173709)	(0.0001925410449,-0.0003574561488)
	(0.0004771598484,0.0004982214554)	(0.0004517510788,-0.0004610055501)	(0.000320443158,0.0003961372025)	(0.0003521758619,-0.0003047820148)	(0.0002334395529,0.001035064264)
	(0.001001989925,-0.0002143927624)	(0.0002701367997,0.0005235648331)	(0.0004699450972,-0.0002137778596)	(7.899270602e-005,0.0007726108968)	(0.0007353799938,-5.749853184e-005)
	(0.0004136006195,0.0007021018678)	(0.0006579816744,-0.0003866052988)	(0.0002066855368,-0.0003946088449)	(0.0007930591435,-7.283136708e-005)	(-0.0001536082731,-0.000739399717)
