96935	
	(-0.005774884428,0.0007072120499)	(-0.000832077835,0.0001044891325)	(-0.005764211565,0.0007059504603)	(-0.00075370239,9.485332486e-005)	(-0.005796510586,0.0007102936336)
	(-0.0004681687762,5.977887324e-005)	(-0.005793090238,0.0007094212205)	(-0.0008955715482,0.0001123037056)	(-0.005753266807,0.0007044511479)	(-0.0009219629325,0.0001155330151)
	(-0.005735681775,0.0007023832264)	(-0.0007745410421,9.740213423e-005)	(-0.005746246934,0.0007036336082)	(-0.0008502310566,0.0001067090526)	(-0.001059570367,0.0001297980595)
	(-0.005712682522,0.0006994304995)	(-0.00088870671,0.0001114266742)	(-0.005700988874,0.0006980425718)	(-0.0008014036347,0.0001006894389)	(-0.005586508241,0.000684747753)
	(-0.0001167324281,1.653674391e-005)	(-0.005619406465,0.0006887526884)	(-0.0001565373412,2.143435998e-005)	(-0.005786914581,0.0007091558551)	(-0.0004243296553,5.4389162e-005)
	(-0.005749582336,0.0007045741844)	(-0.0003816320498,4.912826629e-005)	(-0.005706725236,0.0006993155534)	(-0.0003365901196,4.357741923e-005)	(-0.005653743537,0.0006928520161)
	(-0.0002557890547,3.363140864e-005)	(-0.005655624258,0.0006931471761)	(-0.0002161442578,2.876385114e-005)	(-0.005768712597,0.0007068226391)	(-0.0004833200658,6.162708497e-005)
	(-0.0006759610128,8.277992369e-005)	(-0.00573461621,0.0007025425529)	(-0.0005149265166,6.549662283e-005)	(-0.005753516332,0.0007048027426)	(-0.0005873808346,7.440795074e-005)
	(-0.005765645511,0.0007062166325)	(-0.0006722539065,8.484014818e-005)	(-0.00573341165,0.0007024911998)	(-0.0004376091497,5.599737528e-005)	(-0.005791000787,0.000709499485)
	(-0.0005586598557,7.089366916e-005)	(-0.005690370078,0.0006967850617)	(-0.0007311247915,9.204169012e-005)	(-0.005701264221,0.0006984514875)	(-0.0004710494636,6.009094147e-005)
	(-0.005715409746,0.0007000156503)	(-0.0006254655932,7.907134403e-005)	(-0.005723298338,0.0007009108148)	(-0.0007057621217,8.89390335e-005)	(-0.0009211041664,0.000112830654)
	(-0.005659488698,0.0006930276334)	(-0.000645739366,8.153320553e-005)	(-0.005562686227,0.0006818239638)	(-9.778813082e-005,1.419900564e-005)	(-0.00549260406,0.0006732512591)
