96935	
	(-0.0001613130682,0.0001290259459)	(0.0003144272219,0.0001627272594)	(-7.032872414e-005,0.0001603699951)	(0.0003788208774,5.754435832e-005)	(0.001089624797,0.0004114216673)
	(0.0007087830036,-0.001142523523)	(-0.0002070650234,8.954440751e-005)	(0.0002332265984,0.0002005367188)	(-0.0001843589363,4.473522026e-005)	(0.0001876247756,0.0001759514807)
	(-8.076550045e-005,0.0001066832341)	(0.0003195557185,7.456678376e-005)	(-0.0001475740817,8.007110115e-005)	(0.0002668565803,0.0001416664887)	(-4.652326096e-006,-0.001007382785)
	(-0.0001574980193,3.514860602e-005)	(0.0002084780077,0.0001482118858)	(-0.0001009505714,5.207637576e-005)	(0.0002576946854,7.914410231e-005)	(-0.0008716082682,-0.003814157081)
	(-0.003539259704,0.000631689399)	(7.2858154e-005,-0.003282842833)	(-0.00309923656,-0.0001896488371)	(0.001446279663,0.0002268404457)	(0.0004989103683,-0.001534850438)
	(0.001392787401,-0.0003476372675)	(-5.972696809e-005,-0.001465597501)	(0.001185747368,-0.0009326771435)	(-0.0006231334161,-0.001329011313)	(0.0006292551233,-0.001659426841)
	(-0.001481851593,-0.0008212647001)	(0.0007019289002,-0.002376864275)	(-0.002158874546,-0.0008721679239)	(0.0007851447455,0.0001678433669)	(0.0004571740007,-0.0008426960056)
	(-0.0002474191336,-0.0007319135461)	(0.0004849192156,8.226341727e-005)	(0.0003410316284,-0.0005612438107)	(0.0002733330005,0.000189231643)	(0.000468576183,-0.0003386690029)
	(6.586055412e-005,0.000243114706)	(0.0004892846958,-7.682938463e-005)	(0.0008463089093,-0.0001711248412)	(9.511598717e-005,-0.0009387826114)	(0.0004772045392,0.0003932414611)
	(0.0006266092957,-0.000531968742)	(-4.858847548e-005,6.238250377e-005)	(0.0002975592538,1.854473972e-005)	(0.0004943058382,-0.0001765076673)	(0.0001258449195,-0.0005911453439)
	(0.0001304164729,8.141536104e-005)	(0.0003464222113,-0.0001654755334)	(2.830871853e-006,0.0001111708893)	(0.0003521271175,-4.225963639e-005)	(-7.045844047e-005,-0.0008967772435)
	(1.873407003e-005,-3.576054822e-006)	(0.0002474316777,-9.810750815e-005)	(-0.001619024804,-0.003521698314)	(-0.003375940279,0.001405527004)	(-0.00333316963,-0.003045331376)
	(-0.002961574743,0.003221340237)	(-0.005285624474,-0.004182420778)	(-0.004066576838,0.005140581018)	(-0.004242906302,-0.003775049789)	(-0.003659137804,0.004076363235)
	(-0.002297971967,-0.005220629349)	(-0.005126541094,0.00211751472)	(-0.003289355695,-0.004602616605)	(-0.004549277712,0.003133129191)	(0.0001343251483,0.0005686489146)
