96935	
	(-0.001764863525,-0.001619394625)	(-0.00158448165,0.001845086621)	(-0.002409201525,-0.001250045882)	(-0.001188946898,0.002508382243)	(-0.0079914876,0.0008226623714)
	(0.0008887655001,0.008085862404)	(-0.001286165367,-0.001836434403)	(-0.00179706929,0.001329847616)	(-0.001000213104,-0.001406452975)	(-0.001383274534,0.001055357571)
	(-0.001979862421,-0.0009713522332)	(-0.0009385687835,0.002026365972)	(-0.001466370649,-0.001265330307)	(-0.001234749468,0.001546778148)	(-0.0001542989534,0.0001189513488)
	(-0.001055799122,-0.001019424107)	(-0.0009813469846,0.001122035612)	(-0.001521618165,-0.0007219353704)	(-0.0006858759388,0.001595470496)	(-0.002653436714,0.01598034876)
	(0.01599198987,0.002765590928)	(-0.004482022149,0.01377772244)	(0.01402143139,0.004539320352)	(-0.008825254849,0.001991607987)	(0.00209625344,0.008939511089)
	(-0.008115112845,0.003904758395)	(0.004025450167,0.008143709263)	(-0.006926694015,0.005844501036)	(0.005857508052,0.007010079293)	(-0.005016254085,0.008693472743)
	(0.008840971732,0.005238071052)	(-0.005617981197,0.01088898119)	(0.01097732245,0.005728632602)	(-0.006543145174,0.001249918482)	(0.001352148863,0.006615336651)
	(0.0007552430656,0.0001506212463)	(-0.004927596265,0.001137029809)	(0.001228975099,0.005006295328)	(-0.004276850729,-2.063127685e-005)	(2.17996402e-005,0.004408827328)
	(-0.003376960889,-0.0009213574733)	(-0.0008829725462,0.003448195172)	(-0.006135209895,0.002692834677)	(0.002802280175,0.006260756384)	(-0.005679625984,-0.0003323714584)
	(-0.0001737404254,0.005804298775)	(-0.001900250676,-0.0003845941617)	(-0.0003416776222,0.001963787962)	(-0.004559915466,0.002303485442)	(0.002310616165,0.004630706744)
	(-0.00311442061,0.000144976996)	(0.0001607147661,0.003146185961)	(-0.002482225801,-0.0005234755528)	(-0.0004698739546,0.002587083634)	(5.1919224e-005,7.091335092e-005)
	(-0.002033919828,0.0003521662044)	(0.0004190423842,0.002129779905)	(-0.0005013924099,0.01615046859)	(0.0162728764,0.0007090737856)	(0.00387875587,0.01755989194)
	(0.01786372717,-0.003714771124)	(0.005579882908,0.02226359906)	(0.02258898657,-0.005535052459)	(0.004412147476,0.02015618865)	(0.02038607887,-0.004286467905)
	(-0.001043638099,0.02053898149)	(0.02083576804,0.001212552995)	(0.001653276095,0.02047222199)	(0.0207746233,-0.00146525861)	(0.0008998615295,-0.003590840025)
	(-0.0006583136628,0.02287506094)	(0.02331892483,0.0006798280837)	(0.00253990279,0.02278938066)	(0.02314623174,-0.002534912601)	(-0.0007318987471,-0.001868288798)
	(-0.001826172842,0.0007672162753)	(-0.003284144234,-0.001870115927)	(-0.001840180472,0.003289884606)	(-0.001912308358,-0.002958064942)	(-0.002917671374,0.001977372497)
	(-0.002357593225,-0.0038847541)	(-0.00381741908,0.002435078802)	(-0.002123404776,-0.002008514708)	(-0.001998519956,0.002248803515)	(-0.0001064180822,0.0003014517776)
	(-0.001526030332,-0.002300447153)	(-0.002275967266,0.001568051446)	(-0.002692402517,-0.002650757288)	(-0.002584506217,0.002709853725)	(-0.000274326206,-0.002581249529)
	(-0.002544684999,0.0002977851043)	(-0.0009163954393,-0.002449955067)	(-0.002429120249,0.000957431478)	(-0.0002857513403,0.0002715797816)	(-0.001113586233,-0.003145530299)
	(-0.003103467429,0.00115659696)	(-0.000380035126,-0.003269906055)	(-0.003220801248,0.0004112681122)	(-0.008502733927,0.01140624376)	(0.01153348636,0.008630854659)
