96935	
	(0.0001037250597,-3.327764941e-005)	(-0.0002891269834,0.0002702718317)	(8.966994846e-005,1.370764166e-005)	(-0.0001772339378,0.0002908879745)	(7.913416588e-005,0.0006201383549)
	(0.000591779595,0.0002424457355)	(0.000125697061,-5.958162371e-005)	(-0.0003690546086,0.0002064438543)	(0.0001562457686,-4.853952613e-005)	(-0.0003519126739,0.000182384986)
	(0.000119819081,4.109948992e-006)	(-0.0001858769819,0.0002658474213)	(0.0001337377879,-2.776548986e-005)	(-0.0002751088787,0.0002453892203)	(-1.710293655e-006,0.001483301198)
	(0.0001634399829,-3.463866538e-005)	(-0.0002942224689,0.0002137233651)	(0.0001515199551,-6.970190976e-006)	(-0.0001846327033,0.0002367632354)	(0.00184435982,-0.00120629955)
	(-0.00115219873,-0.001806976177)	(0.001768897476,-0.0005922205475)	(-0.000608369416,-0.001741147555)	(0.0002251139176,0.0007784786719)	(0.000782559909,5.051045936e-005)
	(0.0005138305467,0.000657336341)	(0.0006739723188,-0.0002675606937)	(0.0007829826487,0.0004500693437)	(0.0005194538291,-0.0005871596999)	(0.001047326274,2.577873174e-005)
	(7.569207962e-005,-0.0009946846249)	(0.001428112228,-7.75078457e-005)	(-3.845836293e-005,-0.00136160595)	(0.0001641695874,0.0004297267922)	(0.0004099278598,0.0001495410635)
	(-2.195892269e-005,0.0008545342382)	(0.0001720313738,0.0002695210477)	(0.0002591232192,0.000122757751)	(9.830336714e-005,0.0001788242702)	(0.0001300878661,0.0002521104649)
	(5.356812597e-005,8.877410584e-005)	(-4.572976447e-005,0.000327765469)	(0.0003471335771,0.0004097066128)	(0.0004277009934,-9.629454904e-005)	(1.344758093e-005,0.0003085178598)
	(0.0002372814086,0.0003113640951)	(0.0001433151513,1.878373273e-005)	(-9.568571285e-005,0.0002421999321)	(0.0003030317779,0.0002320521811)	(0.0002627817923,-2.92014705e-005)
	(0.000140570087,0.0001009322057)	(3.569497181e-005,0.00021513227)	(0.0001197370307,4.710280115e-005)	(-6.328514271e-005,0.0002639378992)	(-1.23792792e-005,0.001266514025)
	(0.0001790530489,4.0924575e-005)	(1.168596837e-005,0.0001533666811)	(0.001528163809,-0.001536662609)	(-0.001547099185,-0.001561179018)	(0.0008856802101,-0.002326409536)
	(-0.002445517267,-0.0009278189277)	(0.001020364427,-0.003624111255)	(-0.003726978302,-0.00105845121)	(0.00105216559,-0.002976250924)	(-0.003062373073,-0.001094453092)
