96935	
	(-7.599786529e-005,-0.0002383302496)	(-0.0001756801691,0.0002076447734)	(-8.295534587e-005,-0.0002372886557)	(-0.000169198837,0.0003145473322)	(-0.0002135429924,-0.0002458159218)
	(-6.941079803e-005,0.0006272009828)	(-7.295478142e-005,-0.0002362133731)	(-0.0001430933259,0.0001233973517)	(-8.141012223e-005,-0.0002456388787)	(-0.0001406712284,0.0001268459256)
	(-8.841066077e-005,-0.000236929477)	(-0.0001571311241,0.0003125809111)	(-8.155785131e-005,-0.0002427413545)	(-0.0001724829066,0.000214068071)	(0.002026810955,-0.000786417913)
	(-8.652386697e-005,-0.0002503165516)	(-0.0001599701229,0.0001910450298)	(-9.259487045e-005,-0.0002444300394)	(-0.0001457608483,0.0003123083605)	(0.0001555638985,0.0004726912238)
	(0.0009285632788,-4.801676054e-005)	(-2.450163435e-005,0.0003883478601)	(0.0008724959543,0.0001710462589)	(-0.0002720999,-0.0002198628886)	(6.178621101e-006,0.0007011302493)
	(-0.0002697629348,-0.0001248410205)	(0.000184713179,0.0006729531285)	(-0.0002471765668,-2.237516247e-005)	(0.0003638007348,0.0006082011667)	(-0.0001460245807,0.0001022053624)
	(0.0005798452809,0.0003957499502)	(-0.0001488640443,0.0002306538265)	(0.0007050393903,0.0003724421097)	(-0.0001747233094,-0.0002089646962)	(7.141993606e-006,0.0005828550774)
	(0.001349828882,-0.0005256159581)	(-0.0001442103733,-0.0002007236575)	(4.303134701e-005,0.0005435736549)	(-0.0001173360414,-0.0002204046919)	(-6.773842108e-005,0.0004929601221)
	(-9.219058142e-005,-0.0002371437382)	(-0.0001406256257,0.0003997955674)	(-0.0001931817888,-0.0001542745207)	(0.000145747634,0.0005934349831)	(-0.0001307366186,-0.000244206284)
	(-0.0001014861547,0.0005133028259)	(-9.685121124e-005,-0.0002380711946)	(-0.0001026719839,0.000390149628)	(-0.0001506259018,-0.0001570318325)	(0.0001548529486,0.000531220829)
	(-0.0001095519709,-0.0002164792924)	(-3.196506615e-005,0.0004617301898)	(-9.5985829e-005,-0.0002325267423)	(-0.0001087569806,0.0004027865773)	(0.001775279703,-0.0006920223097)
	(-0.0001068172768,-0.0002162334211)	(1.628317482e-005,0.0004611171877)	(0.0002842239485,0.0004043351082)	(0.0008699722604,-0.000243460478)	(0.0005821534117,0.0002716789947)
	(0.0006760989965,-0.0006530523758)	(0.0009762679723,0.0004239605049)	(0.0008038479552,-0.001061493482)	(0.0007720322197,0.0003791265583)	(0.000775433866,-0.0008384255014)
	(0.0004476177915,0.0007018149207)	(0.001175260841,-0.000412329906)	(0.0006170620015,0.0005619359611)	(0.001013125432,-0.0006427558979)	(0.0006169233694,-0.0004822341489)
	(0.0005999494135,0.0008559827431)	(0.001313613341,-0.0005885459811)	(0.0008294035099,0.0006619425328)	(0.001081251463,-0.0008678914959)	(-7.392609914e-005,-0.0002377900224)
	(-8.283996818e-005,4.349894446e-005)	(-7.454368786e-005,-0.0002397888108)	(-0.0001883673445,0.0002976731135)	(-4.583552261e-005,-0.000227077105)	(-0.0001532076171,0.0001020479348)
	(-2.116264091e-005,-0.0002254780079)	(-0.0001586690061,7.655189495e-005)	(-6.754655774e-005,-0.0002368260619)	(-0.0001854208126,0.0002065667493)	(0.001883490421,-0.0007339445234)
	(-6.095065555e-005,-0.0002309288178)	(-0.0001451458347,0.0001134083519)	(-5.505976248e-005,-0.0002343071511)	(-0.0001887817323,0.0001892985929)	(-6.566022137e-005,-0.0002156127142)
	(1.883690248e-005,-6.829976392e-006)	(-6.210984637e-005,-0.0002262781767)	(-8.082074162e-005,3.868944392e-005)	(0.002082335636,-0.0008069342226)	(-4.757186006e-005,-0.0002149910702)
	(-7.914332057e-005,2.664098061e-005)	(-5.061593244e-005,-0.0002021751775)	(1.50977105e-005,-1.502373454e-005)	(-0.0003130422107,0.0002964945937)	(0.0007465470699,0.0006111997825)
	(-0.0005041321368,3.626422023e-005)	(0.0004012727247,0.0009068068858)	(-0.0004041598888,-5.043845742e-005)	(0.0002737142077,0.0008168899301)	(-0.0003341121157,0.00010017995)
	(0.0005118317173,0.0006950598372)	(0.001091421624,-0.0004747865566)	(-0.0004165873706,0.0001826459084)	(0.0005690622768,0.0007729233673)	(-0.0003966092671,0.0004176977212)
	(0.0008690304404,0.0006958636674)	(-0.0002295622978,0.0008651967272)	(0.001335280227,0.0004387826525)	(-0.0004376436529,0.000589599135)	(0.001048487906,0.0007160019652)
	(0.0002403261521,0.0008072468488)	(0.001299919116,-0.0001446401666)	(0.0007215468128,-0.0005356744956)	(-0.0002126251276,0.0005159144509)	(0.0009962664711,0.0004410923978)
